,word,x,y
275,To,-1.2117122156620006,-3.986158162324684
276,Preeti,1.9614791382296386,5.266152116646437
277,Neel,2.230078850060077,1.7188344115475067
278,You,-9.384108592345088,-5.803273819061402
279,everything,-6.954965285160861,-3.4245797557475792
280,My,-9.547441311309324,-5.571940585791222
281,words,-8.237409289138238,-4.171418858464255
282,prayer,-7.440646363734677,6.331653940334115
283,blessing,-5.972353706367509,-1.2722059685018
284,moon,-8.467931953046156,3.2721313524949145
285,sun,10.05713583078431,0.00447076985542529
286,soul,-6.7296620796691915,-4.883345199980221
287,mate,4.402482684602745,-5.013623380429584
288,Om,-9.604951017218546,1.9707273846826916
289,Namah,0.9559275321021408,-3.8437739418378722
290,Shivaiy,5.601206707204661,-2.7468783558526706
291,universe,-4.456377519050229,9.84273468102538
292,bows,-1.567300616798804,5.749510368552971
293,I,-9.408200541752786,-5.856271388444905
294,bow,-1.5074150933943034,9.599568962622186
295,Contents,4.991595761535697,-9.889726926972362
296,Acknowledgements,4.9147047240361585,-9.838726789969995
297,They,-7.036392789211296,-6.13212750871428
298,say,-9.198305618264298,-5.419234878622747
299,writing,0.6043375358861998,7.067680444717767
300,profession,5.486966798584612,-0.7930467186338408
301,group,7.689263201156509,7.149652038605995
302,people,-8.18530228689645,-6.330272719168103
303,come,-8.730751145195217,-5.447613682899929
304,together,9.892612239376922,-0.18964571429249893
305,make,-8.46757244028797,-6.005851924004637
306,possible,-7.1735419625285255,-3.7668112971717327
307,And,-8.85304975525404,-5.9921115756629915
308,would,-8.113764886298314,-6.378367902796033
309,like,-8.000723974361605,-5.869244738911335
310,thank,-0.12762117383253557,-3.48467517157043
311,wife,-1.7147264436728256,-3.5308570740427165
312,rare,-6.551139793349797,6.236888147457318
313,combination,2.394099481911621,3.600245275084432
314,brains,2.9313678360629662,5.6888051815640654
315,spirit,-9.006816968122505,2.090007263598116
316,assisted,4.151907029608804,-3.202324060026484
317,advised,-0.6306724623800947,5.774499213624446
318,aspects,-5.098647596638156,2.1699205189928965
319,family,-6.603527781255887,-4.96010973711146
320,supremely,4.784316368547914,0.9810546161118802
321,positive,7.370470164158886,4.4814188087521245
322,encouraged,-0.5434967993727231,-1.0452164254616554
323,pushed,-5.31783172482321,7.7132399055192105
324,supported,6.044637740708092,5.507719443784636
325,long,-6.788315237517673,-5.607073383864051
326,years,10.60031417232536,-0.3303553699599802
327,project,-0.8655512872402947,-5.423899538051013
328,publisher,2.381923200257608,0.8279450943099868
329,agent,-3.410684403255943,-6.661594679627941
330,Anuj,3.1505170940480873,4.754681024117932
331,Bahri,-4.507524689405117,0.030357323599447726
332,absolute,5.003683791770951,6.147298317860712
333,confidence,-3.1214808624691024,-3.8556576780510126
334,Trilogy,-7.26911398382461,1.265105408107196
335,present,-6.215509629193899,8.791500418978737
336,publishers,-4.390844680184532,-3.1590135136284285
337,Westland,-1.0407758148849826,2.928198725281068
338,led,1.9359998014646502,-5.981149435176572
339,Gautam,-1.5187448233215406,2.1820647740870567
340,Padmanabhan,-3.9116234946985524,-0.3006420948399664
341,sharing,3.1527869558281822,1.4151450880516596
342,dream,-8.124948447245309,-0.8231722002086828
343,Sharvani,7.391538019733301,-4.836302291540531
344,Pandit,-8.534232527417995,-4.126126292970803
345,rather,-4.997508488176611,9.3843270153522
346,better,-7.7544375873039035,-5.05941675653144
347,improving,7.796808379687177,-7.592817305889669
348,Sagar,-1.4023114013386022,6.711648460722137
349,exceptional,-0.8799824221615702,6.40389518946711
350,innovative,-4.503088811632496,1.2557241759068942
351,helped,-4.652220119030125,9.314700892357102
352,market,2.5644991329643743,4.851097514518213
353,whole,-6.7955694147430545,5.429418773060215
354,new,1.8141462830466908,-5.910619496787846
355,level,-7.365906755376689,5.3381093420123396
356,music,3.0889571133102134,5.565709194179041
357,Mohan,8.848106917416766,3.6413977860703644
358,press,6.021186690990542,-0.4332701403127624
359,Mandar,5.264846619704118,3.1059654808275505
360,effective,5.210230628775084,6.955522853346394
361,advice,-8.557838247950343,-0.5193908317011491
362,marketing,0.0414417117646163,0.35745901145263853
363,Donetta,2.951048040178032,0.14615817268028947
364,leap,-5.099593452341433,-4.6327751841041485
365,faith,-3.070850252502437,10.99774927547034
366,picking,7.93394713189131,5.566345428324157
367,debut,1.0112391046720832,1.0328236175636665
368,believe,-8.769867228768423,-5.84187032005661
369,experience,0.11440661136359095,7.801818151166983
370,different,-6.890891455505589,-3.510682799869489
371,today,-4.335623948501641,9.988250641129456
372,less,-5.896653134842909,6.172106255546343
373,accepting,-0.7724778823255255,5.6038640782790905
374,views,-0.6516952742119937,-8.730062078076507
375,Hence,-6.75604168489817,5.592857078085951
376,importantly,-8.620004099792022,-0.2748874637997409
377,far,10.279133033794052,-0.2973530032425415
378,beyond,1.9790827172910148,-6.038678412843947
379,deserve,-0.30683714345905555,-3.2820401776546424
380,God,-6.939983367246449,-4.9049817111271485
381,Gods,6.247197707718415,5.407270004815288
382,Destroyer,-4.497039936366935,-5.792013962926538
383,Evil,-7.989022880353565,-6.246307960970264
